epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,4283.56,1.03604,0.88862,1.2315,0.8668,0.72636,0.80345,0.5314,1.10682,0.67201,1.15644,0.000125009,0.000125009,0.000125009
177,4307.4,1.02679,0.87508,1.22147,0.86761,0.72449,0.80416,0.52587,1.116,0.67555,1.16536,0.000120009,0.000120009,0.000120009
178,4331.18,1.014,0.85621,1.21095,0.87337,0.72761,0.80523,0.52789,1.11077,0.67304,1.15903,0.000115009,0.000115009,0.000115009
179,4355.02,1.01968,0.87299,1.21774,0.87319,0.72609,0.80575,0.53002,1.11603,0.66907,1.16092,0.000110009,0.000110009,0.000110009
180,4378.7,1.01149,0.85236,1.20708,0.87081,0.72862,0.80858,0.53273,1.10573,0.66458,1.15442,0.000105009,0.000105009,0.000105009
181,4402.45,1.02667,0.87531,1.21975,0.87529,0.72938,0.80882,0.53359,1.10441,0.66503,1.15369,0.000100009,0.000100009,0.000100009
182,4426.57,1.01096,0.8498,1.20211,0.87994,0.72175,0.80777,0.52902,1.11581,0.66531,1.15991,9.5009e-05,9.5009e-05,9.5009e-05
183,4450.35,1.00892,0.85251,1.20588,0.87192,0.72911,0.80785,0.53037,1.11116,0.66347,1.15483,9.00091e-05,9.00091e-05,9.00091e-05
184,4474.37,1.01295,0.84384,1.20289,0.86746,0.73103,0.80648,0.53207,1.10863,0.66479,1.15296,8.50091e-05,8.50091e-05,8.50091e-05
185,4498.16,1.01481,0.86571,1.21574,0.86554,0.73656,0.80559,0.53275,1.10233,0.66258,1.15074,8.00092e-05,8.00092e-05,8.00092e-05
186,4521.87,1.01293,0.85317,1.21502,0.86759,0.73544,0.80766,0.53395,1.10037,0.66112,1.15056,7.50092e-05,7.50092e-05,7.50092e-05
187,4546.01,1.02462,0.86359,1.21691,0.86953,0.73529,0.80774,0.5334,1.10388,0.66042,1.15298,7.00093e-05,7.00093e-05,7.00093e-05
188,4569.92,1.01175,0.85505,1.2104,0.87119,0.73532,0.80775,0.53329,1.10029,0.66129,1.14904,6.50093e-05,6.50093e-05,6.50093e-05
189,4593.68,1.00361,0.85112,1.20775,0.8672,0.7338,0.80656,0.5325,1.10526,0.66492,1.15338,6.00094e-05,6.00094e-05,6.00094e-05
190,4617.44,0.99282,0.82688,1.19645,0.86668,0.74404,0.81108,0.5358,1.10023,0.65834,1.15001,5.50095e-05,5.50095e-05,5.50095e-05
191,4641.99,0.93623,0.7258,1.19506,0.86102,0.73452,0.80545,0.52854,1.11273,0.66589,1.16167,5.00095e-05,5.00095e-05,5.00095e-05
192,4665.1,0.92692,0.70984,1.18841,0.86508,0.72645,0.80224,0.52578,1.11213,0.67137,1.16216,4.50096e-05,4.50096e-05,4.50096e-05
193,4688.24,0.90524,0.68977,1.17378,0.87667,0.72271,0.8031,0.52592,1.11245,0.67066,1.16059,4.00096e-05,4.00096e-05,4.00096e-05
194,4711.07,0.91537,0.70289,1.18282,0.87572,0.72161,0.8041,0.52826,1.10934,0.66901,1.15893,3.50097e-05,3.50097e-05,3.50097e-05
195,4733.89,0.8932,0.67363,1.17205,0.86819,0.72847,0.80617,0.53017,1.10489,0.66556,1.15701,3.00097e-05,3.00097e-05,3.00097e-05
196,4756.8,0.90103,0.68117,1.18293,0.87134,0.72895,0.80567,0.53104,1.10389,0.66461,1.15539,2.50098e-05,2.50098e-05,2.50098e-05
197,4779.86,0.89806,0.67029,1.17027,0.8604,0.73249,0.80545,0.53059,1.1016,0.66523,1.15369,2.00098e-05,2.00098e-05,2.00098e-05
198,4802.68,0.8936,0.67022,1.16559,0.86218,0.73218,0.80471,0.53099,1.10377,0.66439,1.15562,1.50099e-05,1.50099e-05,1.50099e-05
199,4825.54,0.89926,0.67295,1.17241,0.86536,0.72879,0.80467,0.53008,1.10501,0.66614,1.15556,1.00099e-05,1.00099e-05,1.00099e-05
200,4848.43,0.89896,0.69161,1.17989,0.86839,0.72928,0.805,0.53057,1.10492,0.66572,1.15582,5.00995e-06,5.00995e-06,5.00995e-06
