epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1075.08,1.32917,1.37033,1.44598,0.75705,0.57856,0.6561,0.37464,1.35765,1.12678,1.37282,0.000795002,0.000795002,0.000795002
43,1099.38,1.31608,1.36628,1.4472,0.76597,0.57017,0.65127,0.3821,1.35409,1.1137,1.3695,0.000790002,0.000790002,0.000790002
44,1123.55,1.30492,1.35209,1.42409,0.73863,0.59355,0.65974,0.3796,1.35304,1.10497,1.36602,0.000785002,0.000785002,0.000785002
45,1147.5,1.29542,1.33734,1.42064,0.7598,0.59336,0.66157,0.38327,1.35848,1.10102,1.37194,0.000780002,0.000780002,0.000780002
46,1171.63,1.28169,1.31951,1.41747,0.78166,0.5689,0.66058,0.38547,1.35926,1.11309,1.37138,0.000775002,0.000775002,0.000775002
47,1196.26,1.28734,1.31879,1.41738,0.77019,0.5791,0.65934,0.38594,1.3365,1.09443,1.34963,0.000770002,0.000770002,0.000770002
48,1220.41,1.30073,1.33242,1.42468,0.77631,0.58082,0.66358,0.38543,1.37434,1.11156,1.38435,0.000765002,0.000765002,0.000765002
49,1244.26,1.28724,1.33022,1.42344,0.78229,0.59079,0.67596,0.39365,1.32133,1.06612,1.34909,0.000760002,0.000760002,0.000760002
50,1268.32,1.28263,1.30037,1.40913,0.78613,0.59702,0.67426,0.39289,1.3475,1.05308,1.35289,0.000755002,0.000755002,0.000755002
51,1292.1,1.28043,1.31833,1.41629,0.78031,0.59973,0.68143,0.39755,1.35111,1.05846,1.35327,0.000750003,0.000750003,0.000750003
52,1316.56,1.2768,1.308,1.40687,0.74646,0.5931,0.66491,0.39204,1.32701,1.07425,1.34174,0.000745003,0.000745003,0.000745003
53,1340.46,1.26394,1.28264,1.40352,0.78632,0.59641,0.68494,0.40125,1.34698,1.02893,1.34812,0.000740003,0.000740003,0.000740003
54,1364.47,1.27712,1.26962,1.40501,0.78564,0.60594,0.68327,0.40692,1.31317,1.01127,1.31575,0.000735003,0.000735003,0.000735003
55,1388.58,1.26122,1.27032,1.39068,0.76977,0.60141,0.67949,0.39549,1.33258,1.03377,1.34692,0.000730003,0.000730003,0.000730003
56,1412.5,1.26705,1.25984,1.39093,0.77368,0.60479,0.68331,0.40818,1.30055,1.02836,1.33262,0.000725003,0.000725003,0.000725003
57,1436.73,1.25693,1.26751,1.40249,0.78101,0.6082,0.68374,0.41031,1.31634,1.02204,1.33023,0.000720003,0.000720003,0.000720003
58,1460.88,1.27162,1.26912,1.40127,0.80214,0.60022,0.68614,0.40524,1.31779,1.02608,1.33452,0.000715003,0.000715003,0.000715003
59,1484.79,1.25447,1.26067,1.39954,0.81214,0.61798,0.70164,0.42317,1.27963,0.99393,1.30054,0.000710003,0.000710003,0.000710003
60,1508.92,1.27488,1.25957,1.40256,0.79047,0.6317,0.70119,0.40817,1.35475,0.98891,1.34854,0.000705003,0.000705003,0.000705003
61,1533.02,1.25658,1.26183,1.39734,0.77813,0.60903,0.68624,0.40731,1.30034,1.02352,1.31962,0.000700003,0.000700003,0.000700003
62,1557.01,1.25131,1.23383,1.38634,0.81612,0.63077,0.71546,0.43149,1.288,0.95967,1.31251,0.000695003,0.000695003,0.000695003
63,1581.01,1.25414,1.23467,1.39007,0.81509,0.61498,0.69891,0.42068,1.29082,0.99791,1.30279,0.000690003,0.000690003,0.000690003
64,1604.89,1.25677,1.23404,1.39003,0.80187,0.61526,0.69996,0.41655,1.30088,0.99659,1.3147,0.000685003,0.000685003,0.000685003
65,1628.77,1.23317,1.20706,1.37567,0.81853,0.63031,0.71466,0.4265,1.29517,0.94031,1.30124,0.000680003,0.000680003,0.000680003
66,1652.72,1.24931,1.22779,1.38292,0.81422,0.63152,0.71148,0.42258,1.31441,0.97604,1.32732,0.000675003,0.000675003,0.000675003
67,1676.76,1.23987,1.21505,1.37288,0.79431,0.635,0.71668,0.43186,1.26803,0.94781,1.29605,0.000670003,0.000670003,0.000670003
68,1700.83,1.22425,1.19563,1.36684,0.79884,0.62927,0.7115,0.43599,1.24973,0.93882,1.286,0.000665003,0.000665003,0.000665003
